[Gene ID]	[Genomic Sequence ID]	[UniProt ID]	[Entrez Gene ID]	[Gene Name or Symbol]	[Previous ID(s)]	
PF3D7_0209200	Pf3D7_02_v3	O96177	812684	null	PF02_0088, PFB0415c	
PF3D7_0209300	Pf3D7_02_v3	P62368	812685	IspF	PF02_0089, PFB0420w	
PF3D7_0209400	Pf3D7_02_v3	C6S3B4	8444970	null	PF02_0090, PFB0423c, PFB0425c	
PF3D7_0209500	Pf3D7_02_v3	O96179	812686	null	PF02_0090, PFB0425c	
PF3D7_0209600	Pf3D7_02_v3	O96181	812687	null	PF02_0091, PFB0435c	
PF3D7_0209700	Pf3D7_02_v3	O96182	812688	null	PF02_0092, PFB0440c	
PF3D7_0209800	Pf3D7_02_v3	Q9TY94	812689	UAP56	PF02_0093, PFB0445c	
PF3D7_0209900	Pf3D7_02_v3	null	null	null	PF02TR001, PF02TR001:ncRNA	
PF3D7_0210000	Pf3D7_02_v3	O96183	812690	Sec61-gamma	PF02_0094, PFB0450w	
PF3D7_0210100.1	Pf3D7_02_v3	O96184	812691	null	PF02_0095, PFB0455w	
PF3D7_0210100.2	Pf3D7_02_v3	null	null	null	PF02_0095, PFB0455w	
PF3D7_0210200	Pf3D7_02_v3	O96185	812692	null	PF02_0096, PFB0460c	
PF3D7_0210300	Pf3D7_02_v3	O96186	812693	null	PF02_0097, PFB0465c	
PF3D7_0210400	Pf3D7_02_v3	C6S3B5	8444973	null	PFB0467w	
PF3D7_0210500	Pf3D7_02_v3	O96187	812694	null	PF02_0098, PFB0470w	
PF3D7_0210600	Pf3D7_02_v3	O96188	812695	null	PF02_0099, PFB0475c	
PF3D7_0210700	Pf3D7_02_v3	O96189	812696	SYN17	PF02_0100, PFB0480w	
PF3D7_0210800	Pf3D7_02_v3	O96190	812697	null	PF02_0101, PFB0485c	
PF3D7_0210900	Pf3D7_02_v3	O96191	812698	null	PF02_0102, PFB0490c	
PF3D7_0211000	Pf3D7_02_v3	null	null	null	PF02TR002, PF02TR002:ncRNA	
PF3D7_0211100	Pf3D7_02_v3	O96192	812699	null	PF02_0103, PFB0495w	
PF3D7_0211200	Pf3D7_02_v3	O96193	812700	RAB5a	PF02_0104, PFB0500c	
PF3D7_0211300	Pf3D7_02_v3	Q8I661	812701	null	PF02_0105, PFB0501c	
PF3D7_0211400	Pf3D7_02_v3	Q7KWI9	812702	KASIII	PF02_0106, PFB0505c	
PF3D7_0211500	Pf3D7_02_v3	O96195	812703	null	PF02_0107, PFB0510w	
PF3D7_0211600	Pf3D7_02_v3	O96196	812704	null	PF02_0108, PFB0515w	
PF3D7_0211700	Pf3D7_02_v3	O96197	812705	TKL1	PF02_0109, PFB0520w	
PF3D7_0211800	Pf3D7_02_v3	O96198	812706	AsnRS	PF02_0110, PFB0525w	
PF3D7_0211900	Pf3D7_02_v3	O96199	812707	null	PF02_0111, PFB0530c	
PF3D7_0212000	Pf3D7_02_v3	O96200	812708	null	PF02_0112, PFB0535w	
PF3D7_0212100	Pf3D7_02_v3	O96201	812709	null	PF02_0113, PFB0540w	
